ds,y,wave
2017-09-26 08:38:51,0,FLAT
2017-09-26 12:07:42,0,FLAT
2017-09-26 13:13:01,0,FLAT
2017-09-26 14:18:19,0,FLAT
2017-09-26 15:23:44,0,FLAT
2017-09-26 16:29:03,0,FLAT
2017-09-26 17:34:22,7,FLAT
2017-09-26 18:39:43,6,FLAT
2017-09-26 19:45:05,0,FLAT
2017-09-26 20:50:27,0,FLAT
2017-09-26 21:55:48,0,FLAT
2017-09-26 23:01:07,0,FLAT
2017-09-27 00:06:28,0,FLAT
2017-09-27 01:11:46,0,FLAT
2017-09-27 02:17:06,0,FLAT
2017-09-27 03:22:23,0,FLAT
2017-09-27 04:27:42,0,FLAT
2017-09-27 05:33:02,0,FLAT
2017-09-27 06:38:19,4,FLAT
2017-09-27 07:43:36,0,FLAT
2017-09-27 08:48:52,1,FLAT
2017-09-27 09:54:10,1,FLAT
2017-09-27 10:59:27,0,FLAT
"2017-09-27 12:04:45","11","FLAT"
"2017-09-27 13:10:08","1","FLAT"
